2024-04-05T18:36:15.868Z	Mon2	write	success	Message sent to /request: {"deviceMake":"Solaredge","constructedUrl":"https://monitoringapi.solaredge.com/equipment//675746/7E1388DA-F3/data?startTime=2024-04-05%2023:41:00&endTime=2024-04-05%2023:56:00&api_key=58G0DE59GK1XD9AHGBPWDU4SOF06VFM2","headers":{},"metadata":{}}
2024-04-05T18:36:18.765Z	Mon2	write	success	Message sent to /request: {"deviceMake":"Solaredge","constructedUrl":"https://monitoringapi.solaredge.com/equipment//2081598/7E13A7F5-2D/data?startTime=2024-04-05%2023:41:00&endTime=2024-04-05%2023:56:00&api_key=58G0DE59GK1XD9AHGBPWDU4SOF06VFM2\r\n","headers":{},"metadata":{}}
2024-04-05T18:36:20.176Z	Mon2	write	success	Message sent to /request: {"deviceMake":"Solis","constructedUrl":"https://www.soliscloud.com:13333/v1/api/userStationList","headers":{"Content-MD5":"ooUbFl4OVng2nEfAynB32Q==","Content-Type":"application/json","Date":"Fri, 05 Apr 2024 18:36:19 GMT","Signature":"iEskwuhKVVky84+BpbquK42edkQ=","Api_key":"1300319277300393317","body":{"pageNo":1,"pageSize":10,"user":"2881847"}},"metadata":{}}
2024-04-05T18:37:30.869Z	Mon2	write	success	Message sent to /request: {"deviceMake":"Solaredge","constructedUrl":"https://monitoringapi.solaredge.com/equipment//675746/7E1388DA-F3/data?startTime=2024-04-05%2023:41:00&endTime=2024-04-05%2023:56:00&api_key=58G0DE59GK1XD9AHGBPWDU4SOF06VFM2","headers":{},"metadata":{}}
2024-04-05T18:37:32.763Z	Mon2	write	success	Message sent to /request: {"deviceMake":"Solaredge","constructedUrl":"https://monitoringapi.solaredge.com/equipment//2081598/7E13A7F5-2D/data?startTime=2024-04-05%2023:41:00&endTime=2024-04-05%2023:56:00&api_key=58G0DE59GK1XD9AHGBPWDU4SOF06VFM2\r\n","headers":{},"metadata":{}}
2024-04-05T18:37:34.863Z	Mon2	write	success	Message sent to /request: {"deviceMake":"Solis","constructedUrl":"https://www.soliscloud.com:13333/v1/api/userStationList","headers":{"Content-MD5":"ooUbFl4OVng2nEfAynB32Q==","Content-Type":"application/json","Date":"Fri, 05 Apr 2024 18:37:33 GMT","Signature":"6OHHcYMjWxdBsTZ5S2N/9/luoj8=","Api_key":"1300319277300393317","body":{"pageNo":1,"pageSize":10,"user":"2881847"}},"metadata":{}}
2024-04-05T18:42:56.762Z	Mon2	write	success	Message sent to /request: {"deviceMake":"Solaredge","constructedUrl":"https://monitoringapi.solaredge.com/equipment//675746/7E1388DA-F3/data?startTime=2024-04-05%2023:57:00&endTime=2024-04-05%2000:12:00&api_key=58G0DE59GK1XD9AHGBPWDU4SOF06VFM2","headers":{},"metadata":{}}
2024-04-05T18:42:58.366Z	Mon2	write	success	Message sent to /request: {"deviceMake":"Solaredge","constructedUrl":"https://monitoringapi.solaredge.com/equipment//2081598/7E13A7F5-2D/data?startTime=2024-04-05%2023:57:00&endTime=2024-04-05%2000:12:00&api_key=58G0DE59GK1XD9AHGBPWDU4SOF06VFM2\r\n","headers":{},"metadata":{}}
2024-04-05T18:43:00.066Z	Mon2	write	success	Message sent to /request: {"deviceMake":"Solis","constructedUrl":"https://www.soliscloud.com:13333/v1/api/userStationList","headers":{"Content-MD5":"ooUbFl4OVng2nEfAynB32Q==","Content-Type":"application/json","Date":"Fri, 05 Apr 2024 18:42:58 GMT","Signature":"LuKi6FETPyqg9lVTN41j8JdgJuM=","Api_key":"1300319277300393317","body":{"pageNo":1,"pageSize":10,"user":"2881847"}},"metadata":{}}
2024-11-02T07:30:47.314Z	L1	Mon2	MON-2 Service	success	Executed Successfully...
2024-11-02T07:30:47.316Z	L2	Mon2	write	success	Message sent to /request: {"deviceMake":"Solaredge","constructedUrl":"https://monitoringapi.solaredge.com/equipment//675746/7E1388DA-F3/data?startTime=2024-11-02%2007:30:00&endTime=2024-11-02%2007:45:00&api_key=58G0DE59GK1XD9AHGBPWDU4SOF06VFM2","headers":{},"metadata":{"integratorId":"48f076ef-e7ad-11ee-8d11-892f4ffe0f4b","PlantName":"Vishnu","PlantSL_NO":"636412","PlantID":"37c12996-e7ae-11ee-8d11-892f4ffe0f4b","PlantType":"Solar","PlantCapacity":89,"PlantSystemType":"PV","Latitude":17.385,"Longitude":78.4867,"Country":"India","Region":"South","State":"Telangana","District":"Rangareddy","AzimuthalAngle":180,"TiltAngle":15,"DeviceUUID":"cce8005e-e7b0-11ee-8d11-892f4ffe0f4b","DeviceMake":"Solaredge","ModelNo":"675746","DeviceSN":"7E1388DA-F3","DeviceType":"3","Capacity":33.5,"CapacityUOM":"KW"}}
2024-11-02T07:30:47.428Z	L1	Mon2	MON-2 Service	success	Started Successfully...
2024-11-02T07:30:47.631Z	L1	Mon2	MON-2 Service	success	Executed Successfully...
2024-11-02T07:30:47.631Z	L2	Mon2	write	success	Message sent to /request: {"deviceMake":"Solaredge","constructedUrl":"https://monitoringapi.solaredge.com/equipment//2081598/7E13A7F5-2D/data?startTime=2024-11-02%2007:30:00&endTime=2024-11-02%2007:45:00&api_key=58G0DE59GK1XD9AHGBPWDU4SOF06VFM2","headers":{},"metadata":{"integratorId":"48f076ef-e7ad-11ee-8d11-892f4ffe0f4b","PlantName":"Vishnu","PlantSL_NO":"636412","PlantID":"37c12996-e7ae-11ee-8d11-892f4ffe0f4b","PlantType":"Solar","PlantCapacity":89,"PlantSystemType":"PV","Latitude":17.385,"Longitude":78.4867,"Country":"India","Region":"South","State":"Telangana","District":"Rangareddy","AzimuthalAngle":180,"TiltAngle":15,"DeviceUUID":"f66eefb0-eb62-11ee-8d11-892f4ffe0f4b","DeviceMake":"Solaredge","ModelNo":"2081598","DeviceSN":"7E13A7F5-2D","DeviceType":"3","Capacity":50.05,"CapacityUOM":"KW"}}
2024-11-02T07:30:47.751Z	L1	Mon2	MON-2 Service	success	Started Successfully...
2024-11-02T07:30:47.972Z	L1	Mon2	MON-2 Service	success	Executed Successfully...
2024-11-02T07:30:47.973Z	L2	Mon2	write	success	Message sent to /request: {"deviceMake":"Solis","constructedUrl":"https://www.soliscloud.com:13333/v1/api/userStationList","headers":{"Content-MD5":"ooUbFl4OVng2nEfAynB32Q==","Content-Type":"application/json","Date":"Sat, 02 Nov 2024 07:30:47 GMT","Signature":"Lb268yEk48Y2SPuCBZ6wc11iIM4=","Api_key":"1300319277300393317","body":{"pageNo":1,"pageSize":10,"user":"2881847"}},"metadata":{"integratorId":"48f076ef-e7ad-11ee-8d11-892f4ffe0f4b","PlantName":"Mohana","PlantSL_NO":"934221","PlantID":"9867bc09-e905-11ee-8d11-892f4ffe0f4b","PlantType":"Inverter","PlantCapacity":8,"PlantSystemType":"V1","Latitude":17.385,"Longitude":78.4867,"Country":"India","Region":"South","State":"Telangana","District":"Rangareddy","AzimuthalAngle":180,"TiltAngle":15,"DeviceUUID":"d814991c-e905-11ee-8d11-892f4ffe0f4b","DeviceMake":"Solis","ModelNo":"SOL-5678X","DeviceSN":"SN-67890","DeviceType":"2","Capacity":8,"CapacityUOM":"KW"}}
2024-11-02T07:30:48.104Z	L1	Mon2	MON-2 Service	success	Started Successfully...
2024-11-02T07:30:48.281Z	L1	Mon2	MON-2 Service	success	Executed Successfully...
2024-11-02T07:30:48.282Z	L2	Mon2	write	success	Message sent to /request: {"deviceMake":"Solaredge","constructedUrl":"https://monitoringapi.solaredge.com/equipment//675746/7E1388DA-F3/data?startTime=2024-11-02%2007:30:00&endTime=2024-11-02%2007:45:00&api_key=58G0DE59GK1XD9AHGBPWDU4SOF06VFM2","headers":{},"metadata":{"integratorId":"48f076ef-e7ad-11ee-8d11-892f4ffe0f4b","PlantName":"Vishnu","PlantID":"37c12996-e7ae-11ee-8d11-892f4ffe0f4b","Latitude":17.385,"Longitude":78.4867,"DeviceUUID":"cce8005e-e7b0-11ee-8d11-892f4ffe0f4b","DeviceMake":"Solaredge","DeviceType":"3"}}
2024-11-02T07:30:48.397Z	L1	Mon2	MON-2 Service	success	Started Successfully...
2024-11-02T07:30:48.614Z	L1	Mon2	MON-2 Service	success	Executed Successfully...
2024-11-02T07:30:48.615Z	L2	Mon2	write	success	Message sent to /request: {"deviceMake":"Solaredge","constructedUrl":"https://monitoringapi.solaredge.com/equipment//2081598/7E13A7F5-2D/data?startTime=2024-11-02%2007:30:00&endTime=2024-11-02%2007:45:00&api_key=58G0DE59GK1XD9AHGBPWDU4SOF06VFM2","headers":{},"metadata":{"integratorId":"48f076ef-e7ad-11ee-8d11-892f4ffe0f4b","PlantName":"Vishnu","PlantID":"37c12996-e7ae-11ee-8d11-892f4ffe0f4b","Latitude":17.385,"Longitude":78.4867,"DeviceUUID":"f66eefb0-eb62-11ee-8d11-892f4ffe0f4b","DeviceMake":"Solaredge","DeviceType":"3"}}
2024-11-02T07:30:48.710Z	L1	Mon2	MON-2 Service	success	Started Successfully...
2024-11-02T07:30:48.925Z	L1	Mon2	MON-2 Service	success	Executed Successfully...
2024-11-02T07:30:48.926Z	L2	Mon2	write	success	Message sent to /request: {"deviceMake":"Solis","constructedUrl":"https://www.soliscloud.com:13333/v1/api/userStationList","headers":{"Content-MD5":"ooUbFl4OVng2nEfAynB32Q==","Content-Type":"application/json","Date":"Sat, 02 Nov 2024 07:30:48 GMT","Signature":"h/npqDQDlAXMtEUsQN3C5kgc+JM=","Api_key":"1300319277300393317","body":{"pageNo":1,"pageSize":10,"user":"2881847"}},"metadata":{"integratorId":"48f076ef-e7ad-11ee-8d11-892f4ffe0f4b","PlantName":"Mohana","PlantID":"9867bc09-e905-11ee-8d11-892f4ffe0f4b","Latitude":17.385,"Longitude":78.4867,"DeviceUUID":"d814991c-e905-11ee-8d11-892f4ffe0f4b","DeviceMake":"Solis","DeviceType":"2"}}
2024-11-02T07:30:49.017Z	L1	Mon2	MON-2 Service	success	Started Successfully...
2024-11-02T07:30:49.187Z	L1	Mon2	MON-2 Service	success	Executed Successfully...
2024-11-02T07:30:49.187Z	L2	Mon2	write	success	Message sent to /request: {"deviceMake":"Solaredge","constructedUrl":"https://monitoringapi.solaredge.com/equipment//675746/7E1388DA-F3/data?startTime=2024-11-02%2007:30:00&endTime=2024-11-02%2007:45:00&api_key=58G0DE59GK1XD9AHGBPWDU4SOF06VFM2","headers":{},"metadata":{"integratorId":"48f076ef-e7ad-11ee-8d11-892f4ffe0f4b","PlantName":"Vishnu","PlantID":"37c12996-e7ae-11ee-8d11-892f4ffe0f4b","Latitude":17.385,"Longitude":78.4867,"DeviceUUID":"cce8005e-e7b0-11ee-8d11-892f4ffe0f4b","DeviceMake":"Solaredge","DeviceType":"3"}}
2024-11-02T07:30:49.279Z	L1	Mon2	MON-2 Service	success	Started Successfully...
2024-11-02T07:30:49.495Z	L1	Mon2	MON-2 Service	success	Executed Successfully...
2024-11-02T07:30:49.495Z	L2	Mon2	write	success	Message sent to /request: {"deviceMake":"Solaredge","constructedUrl":"https://monitoringapi.solaredge.com/equipment//2081598/7E13A7F5-2D/data?startTime=2024-11-02%2007:30:00&endTime=2024-11-02%2007:45:00&api_key=58G0DE59GK1XD9AHGBPWDU4SOF06VFM2","headers":{},"metadata":{"integratorId":"48f076ef-e7ad-11ee-8d11-892f4ffe0f4b","PlantName":"Vishnu","PlantID":"37c12996-e7ae-11ee-8d11-892f4ffe0f4b","Latitude":17.385,"Longitude":78.4867,"DeviceUUID":"f66eefb0-eb62-11ee-8d11-892f4ffe0f4b","DeviceMake":"Solaredge","DeviceType":"3"}}
2024-11-02T07:30:49.604Z	L1	Mon2	MON-2 Service	success	Started Successfully...
2024-11-02T07:30:52.820Z	L1	Mon2	MON-2 Service	success	Executed Successfully...
2024-11-02T07:30:52.820Z	L2	Mon2	write	success	Message sent to /request: {"deviceMake":"Solis","constructedUrl":"https://www.soliscloud.com:13333/v1/api/userStationList","headers":{"Content-MD5":"ooUbFl4OVng2nEfAynB32Q==","Content-Type":"application/json","Date":"Sat, 02 Nov 2024 07:30:49 GMT","Signature":"+2Cb6e/DNbU7gob/y/1LqAh3TDo=","Api_key":"1300319277300393317","body":{"pageNo":1,"pageSize":10,"user":"2881847"}},"metadata":{"integratorId":"48f076ef-e7ad-11ee-8d11-892f4ffe0f4b","PlantName":"Mohana","PlantID":"9867bc09-e905-11ee-8d11-892f4ffe0f4b","Latitude":17.385,"Longitude":78.4867,"DeviceUUID":"d814991c-e905-11ee-8d11-892f4ffe0f4b","DeviceMake":"Solis","DeviceType":"2"}}
2024-11-02T07:30:52.919Z	L1	Mon2	MON-2 Service	success	Started Successfully...
2024-11-02T07:30:53.163Z	L1	Mon2	MON-2 Service	success	Executed Successfully...
2024-11-02T07:30:53.164Z	L2	Mon2	write	success	Message sent to /request: {"deviceMake":"Solaredge","constructedUrl":"https://monitoringapi.solaredge.com/equipment//675746/7E1388DA-F3/data?startTime=2024-11-02%2007:30:00&endTime=2024-11-02%2007:45:00&api_key=58G0DE59GK1XD9AHGBPWDU4SOF06VFM2","headers":{},"metadata":{"integratorId":"48f076ef-e7ad-11ee-8d11-892f4ffe0f4b","PlantName":"Vishnu","PlantID":"37c12996-e7ae-11ee-8d11-892f4ffe0f4b","Latitude":17.385,"Longitude":78.4867,"DeviceUUID":"cce8005e-e7b0-11ee-8d11-892f4ffe0f4b","DeviceMake":"Solaredge","DeviceType":"3"}}
2024-11-02T07:30:53.260Z	L1	Mon2	MON-2 Service	success	Started Successfully...
2024-11-02T07:30:53.447Z	L1	Mon2	MON-2 Service	success	Executed Successfully...
2024-11-02T07:30:53.448Z	L2	Mon2	write	success	Message sent to /request: {"deviceMake":"Solaredge","constructedUrl":"https://monitoringapi.solaredge.com/equipment//2081598/7E13A7F5-2D/data?startTime=2024-11-02%2007:30:00&endTime=2024-11-02%2007:45:00&api_key=58G0DE59GK1XD9AHGBPWDU4SOF06VFM2","headers":{},"metadata":{"integratorId":"48f076ef-e7ad-11ee-8d11-892f4ffe0f4b","PlantName":"Vishnu","PlantID":"37c12996-e7ae-11ee-8d11-892f4ffe0f4b","Latitude":17.385,"Longitude":78.4867,"DeviceUUID":"f66eefb0-eb62-11ee-8d11-892f4ffe0f4b","DeviceMake":"Solaredge","DeviceType":"3"}}
2024-11-02T07:30:53.584Z	L1	Mon2	MON-2 Service	success	Started Successfully...
2024-11-02T07:30:53.759Z	L1	Mon2	MON-2 Service	success	Executed Successfully...
2024-11-02T07:30:53.759Z	L2	Mon2	write	success	Message sent to /request: {"deviceMake":"Solis","constructedUrl":"https://www.soliscloud.com:13333/v1/api/userStationList","headers":{"Content-MD5":"ooUbFl4OVng2nEfAynB32Q==","Content-Type":"application/json","Date":"Sat, 02 Nov 2024 07:30:53 GMT","Signature":"+FQdQBF259AV5H1WoMdJCKzN6lM=","Api_key":"1300319277300393317","body":{"pageNo":1,"pageSize":10,"user":"2881847"}},"metadata":{"integratorId":"48f076ef-e7ad-11ee-8d11-892f4ffe0f4b","PlantName":"Mohana","PlantID":"9867bc09-e905-11ee-8d11-892f4ffe0f4b","Latitude":17.385,"Longitude":78.4867,"DeviceUUID":"d814991c-e905-11ee-8d11-892f4ffe0f4b","DeviceMake":"Solis","DeviceType":"2"}}
2024-11-02T07:30:53.845Z	L1	Mon2	MON-2 Service	success	Started Successfully...
2024-11-02T07:30:54.021Z	L1	Mon2	MON-2 Service	success	Executed Successfully...
2024-11-02T07:30:54.021Z	L2	Mon2	write	success	Message sent to /request: {"deviceMake":"Solaredge","constructedUrl":"https://monitoringapi.solaredge.com/equipment//675746/7E1388DA-F3/data?startTime=2024-11-02%2007:30:00&endTime=2024-11-02%2007:45:00&api_key=58G0DE59GK1XD9AHGBPWDU4SOF06VFM2","headers":{},"metadata":{"integratorId":"48f076ef-e7ad-11ee-8d11-892f4ffe0f4b","PlantName":"Vishnu","PlantID":"37c12996-e7ae-11ee-8d11-892f4ffe0f4b","Latitude":17.385,"Longitude":78.4867,"DeviceUUID":"cce8005e-e7b0-11ee-8d11-892f4ffe0f4b","DeviceMake":"Solaredge","DeviceType":"3"}}
2024-11-02T07:30:54.130Z	L1	Mon2	MON-2 Service	success	Started Successfully...
2024-11-02T07:30:54.320Z	L1	Mon2	MON-2 Service	success	Executed Successfully...
2024-11-02T07:30:54.320Z	L2	Mon2	write	success	Message sent to /request: {"deviceMake":"Solaredge","constructedUrl":"https://monitoringapi.solaredge.com/equipment//2081598/7E13A7F5-2D/data?startTime=2024-11-02%2007:30:00&endTime=2024-11-02%2007:45:00&api_key=58G0DE59GK1XD9AHGBPWDU4SOF06VFM2","headers":{},"metadata":{"integratorId":"48f076ef-e7ad-11ee-8d11-892f4ffe0f4b","PlantName":"Vishnu","PlantID":"37c12996-e7ae-11ee-8d11-892f4ffe0f4b","Latitude":17.385,"Longitude":78.4867,"DeviceUUID":"f66eefb0-eb62-11ee-8d11-892f4ffe0f4b","DeviceMake":"Solaredge","DeviceType":"3"}}
2024-11-02T07:30:54.409Z	L1	Mon2	MON-2 Service	success	Started Successfully...
2024-11-02T07:30:54.577Z	L1	Mon2	MON-2 Service	success	Executed Successfully...
2024-11-02T07:30:54.577Z	L2	Mon2	write	success	Message sent to /request: {"deviceMake":"Solis","constructedUrl":"https://www.soliscloud.com:13333/v1/api/userStationList","headers":{"Content-MD5":"ooUbFl4OVng2nEfAynB32Q==","Content-Type":"application/json","Date":"Sat, 02 Nov 2024 07:30:54 GMT","Signature":"OVo2bOlp7XMnl71ShwoXyIS3gDQ=","Api_key":"1300319277300393317","body":{"pageNo":1,"pageSize":10,"user":"2881847"}},"metadata":{"integratorId":"48f076ef-e7ad-11ee-8d11-892f4ffe0f4b","PlantName":"Mohana","PlantID":"9867bc09-e905-11ee-8d11-892f4ffe0f4b","Latitude":17.385,"Longitude":78.4867,"DeviceUUID":"d814991c-e905-11ee-8d11-892f4ffe0f4b","DeviceMake":"Solis","DeviceType":"2"}}
2024-11-02T07:30:54.666Z	L1	Mon2	MON-2 Service	success	Started Successfully...
2024-11-02T07:30:54.830Z	L1	Mon2	MON-2 Service	success	Executed Successfully...
